活动场地,班级,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
D101,J3C,D23 烹饪学会,,D23 烹饪学会,D23 烹饪学会
D102,J3D,D01 华文学会,,D01 华文学会,D01 华文学会
D103,J3E,D01 华文学会,,D01 华文学会,D01 华文学会
D104,J3F,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
D105,J3G,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
D106,J3I,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
D107,J3J,C08 扯铃队,,C08 扯铃队,C08 扯铃队
D201,S2C5,D08 地理学会,,D08 地理学会,D08 地理学会
D202,S2C6,C07 二十四节令鼓队,,C07 二十四节令鼓队,C07 二十四节令鼓队
D203,S2S1,C07 二十四节令鼓队,,C07 二十四节令鼓队,C07 二十四节令鼓队
D204,S2S2,A04 学生警察团,,A04 学生警察团,A04 学生警察团
D205,S2S3,A04 学生警察团,,A04 学生警察团,A04 学生警察团
D206,J3A,A04 学生警察团,,A04 学生警察团,A04 学生警察团
D207,J3B,E03 舞台技术研究社,,E03 舞台技术研究社,E03 舞台技术研究社
D301,S2C1,C05 戏剧研究会,,C05 戏剧研究会,C05 戏剧研究会
D302,S2C2,C05 戏剧研究会,,C05 戏剧研究会,C05 戏剧研究会
D303,S2C3,C05 戏剧研究会,,C05 戏剧研究会,C05 戏剧研究会
D304,S2C4,D04 数学学会,,D04 数学学会,
D305,S1S1,D14 学生扶轮团,,D14 学生扶轮团,D14 学生扶轮团
D306,S1S2,D25 口琴学会,,D25 口琴学会,D25 口琴学会
D307,S1S3,D25 口琴学会,,D25 口琴学会,D25 口琴学会
D401,S1C1,A01 学长团,,A01 学长团,A01 学长团
D402,S1C2,A01 学长团,,A01 学长团,A01 学长团
D403,S1C3,A01 学长团（编辑小组),,A01 学长团（编辑小组),A01 学长团（编辑小组)
D404,S1C4,D22 旅游学会,,D22 旅游学会,D22 旅游学会
D405,S1C5,D22 旅游学会,,D22 旅游学会,D22 旅游学会
D406,S1C6,D28 韩国文化学会,,,
D407,S1C7,D28 韩国文化学会,,,
