活动场地,班级,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
F001,F西楼底层活动区,A02 男女童军团,,A02 男女童军团,A02 男女童军团
F002,F东楼底层活动区,B02 排球培训队,,B02 排球培训队,B02 排球培训队
F201 ,美术室1,D10 美术学会,,D10 美术学会,D10 美术学会
F202 ,美术室2,D10 美术学会,,D10 美术学会,D10 美术学会
F301 ,音乐室1,C03 合唱团,,C03 合唱团,C03 合唱团
F302 ,音乐室2,C03 合唱团,,C03 合唱团,C03 合唱团
F501,活动室/课室63,D15 漫画学会,,D15 漫画学会,
F502,活动室/课室62,D18 摄影学会,,D18 摄影学会,
F503,活动室/课室61,D21 模型学会,,D21 模型学会,D21 模型学会
F504,活动室/课室60,E02 编辑小组,,E02 编辑小组,E02 编辑小组
F601,F西楼顶楼活动区,B01 篮球培训队,,C06 中华武术团(06月),C06 中华武术团(06月)
F602,F东楼顶楼活动区,D24 跆拳道学会,,,D24 跆拳道学会
