活动场地,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
D101,D23 烹饪学会,,D23 烹饪学会,D23 烹饪学会
D102,D01 华文学会,,D01 华文学会,D01 华文学会
D103,D01 华文学会,,D01 华文学会,D01 华文学会
D104,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
D105,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
D106,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
D107,C08 扯铃队,,C08 扯铃队,C08 扯铃队
D201,D08 地理学会,,D08 地理学会,D08 地理学会
D202,C07 二十四节令鼓队,,C07 二十四节令鼓队,C07 二十四节令鼓队
D203,C07 二十四节令鼓队,,C07 二十四节令鼓队,C07 二十四节令鼓队
D204,A04 学生警察团,,A04 学生警察团,A04 学生警察团
D205,A04 学生警察团,,A04 学生警察团,A04 学生警察团
D206,A04 学生警察团,,A04 学生警察团,A04 学生警察团
D207,E03 舞台技术研究社,,E03 舞台技术研究社,E03 舞台技术研究社
D301,C05 戏剧研究会,,C05 戏剧研究会,C05 戏剧研究会
D302,C05 戏剧研究会,,C05 戏剧研究会,C05 戏剧研究会
D303,C05 戏剧研究会,,C05 戏剧研究会,C05 戏剧研究会
D304,D04 数学学会,,D04 数学学会,
D305,D14 学生扶轮团,,D14 学生扶轮团,D14 学生扶轮团
D306,D25 口琴学会,,D25 口琴学会,D25 口琴学会
D307,D25 口琴学会,,D25 口琴学会,D25 口琴学会
D401,A01 学长团,,A01 学长团,A01 学长团
D402,A01 学长团,,A01 学长团,A01 学长团
D403,A01 学长团（编辑小组),,A01 学长团（编辑小组),A01 学长团（编辑小组)
D404,D22 旅游学会,,D22 旅游学会,D22 旅游学会
D405,D22 旅游学会,,D22 旅游学会,D22 旅游学会
D406,D28 韩国文化学会,,D28 韩国文化学会,D28 韩国文化学会
D407,D28 韩国文化学会,,D28 韩国文化学会,D28 韩国文化学会
