活动场地,班级,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
E000,,C01 管乐团,,C02 华乐团,C02 华乐团
E001,,C01 管乐团,,C01 管乐团,C01 管乐团
E002,,C01 管乐团,,C01 管乐团,C01 管乐团
E003,,C01 管乐团,,C01 管乐团,C01 管乐团
E004,,C01 管乐团,,C01 管乐团,C01 管乐团
E005,,C01 管乐团,,C01 管乐团,C01 管乐团
E006,,C01 管乐团,,C01 管乐团,C01 管乐团
E201,,C02 华乐团,,C02 华乐团,C02 华乐团
E202,,C02 华乐团,,C02 华乐团,C02 华乐团
E203,,C02 华乐团,,C02 华乐团,C02 华乐团
E204,,D03 英文学会,,D03 英文学会,D03 英文学会
E205,,D03 英文学会,,D03 英文学会,D03 英文学会
E206,,B11 英语口才培训队,,B11 英语口才培训队,B11 英语口才培训队
E207,,B11 英语口才培训队,,B11 英语口才培训队,B11 英语口才培训队
E301,,B07 数学培训队,,B07 数学培训队,B07 数学培训队
E302,,B07 数学培训队,,B07 数学培训队,B07 数学培训队
E303,,B07 数学培训队,,B07 数学培训队,B07 数学培训队
E304,,B07 数学培训队,,B07 数学培训队,B07 数学培训队
E305,,B08 数理培训队,,B08 数理培训队,B08 数理培训队
E306,,B08 数理培训队,,B08 数理培训队,B08 数理培训队
E307,,B08 数理培训队,,B08 数理培训队,B08 数理培训队
